,_record_id,_project_id,_assigned_to_id,_status,_latitude,_longitude,_created_at,_updated_at,_version,_updated_by_id,_server_created_at,_server_updated_at,_title,currentmonth,currentyear,stop_number,blockface_title,bid_identifier,bid_algorithm_flag,borough,district_no,section_no,blockface,street_1,sidewalk_1,street_2,sidewalk_2,street_3,sidewalk_3,street_4,sidewalk_4,LogTime,my_date,st_mean,sw_mean,st_acceptable,sw_acceptable,st_filthy,sw_filthy,st_rated,sw_rated
297,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,0,9226004620_92264620_QW04_QW043,9226004620_92264620_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
298,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,1,9226004287_92264287_QW04_QW043,9226004287_92264287_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,1.2,1.2,1.2,,,,,,2021-11-01,1.2,1.2,1,1,0,0,1,1
299,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,2,9226004796_92264796_QW04_QW043,9226004796_92264796_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,1.5,1.2,1.2,,,,,,2021-11-01,1.2,1.35,1,1,0,0,1,1
300,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,3,9226002124_92262124_QW04_QW043,9226002124_92262124_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,1.2,1.5,1.2,1.2,1.2,1.2,1.2,,2021-11-01,1.2750000000000001,1.2,1,1,0,0,1,1
301,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,4,9226005490_92265490_QW04_QW043,9226005490_92265490_QW04_QW043_NA,,Queens,QW04,QW043,,1.5,1.2,1.5,1.2,,,,,,2021-11-01,1.5,1.2,0,1,0,0,1,1
302,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,5,9226003400_92263400_QW04_QW043,9226003400_92263400_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,,1.2,,1.2,,1.2,,,2021-11-01,1.2,,1,,0,,1,
303,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,6,9226002014_92262014_QW04_QW043,9226002014_92262014_QW04_QW043_NA,,Queens,QW04,QW043,,1.5,1.2,1.8,1.5,1.5,1.2,1.5,1.2,,2021-11-01,1.575,1.2750000000000001,0,1,0,0,1,1
304,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,7,9226004646_92264646_QW04_QW043,9226004646_92264646_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,1.2,1.2,1.2,,,,,,2021-11-01,1.2,1.2,1,1,0,0,1,1
305,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,8,9226004645_92264645_QW04_QW043,9226004645_92264645_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,1.2,1.2,1.2,,,,,,2021-11-01,1.2,1.2,1,1,0,0,1,1
306,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,9,9226006597_92266597_QW04_QW043,9226006597_92266597_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,1.2,1.2,1.2,,,,,,2021-11-01,1.2,1.2,1,1,0,0,1,1
307,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,10,9226004478_92264478_QW04_QW043,9226004478_92264478_QW04_QW043_NA,,Queens,QW04,QW043,,1.8,1.2,1.2,1.2,1.2,1.2,,,,2021-11-01,1.4000000000000001,1.2,1,1,0,0,1,1
308,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,11,9227010479_92280479_QW04_QW043,9227010479_92280479_QW04_QW043_NA,,Queens,QW04,QW043,,1.5,1.2,1.8,1.2,,,,,,2021-11-01,1.65,1.2,0,1,0,0,1,1
309,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,12,9227009113_92279113_QW04_QW043,9227009113_92279113_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
310,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,13,9227010481_92280481_QW04_QW043,9227010481_92280481_QW04_QW043_NA,,Queens,QW04,QW043,,,,,1.2,,,,,,2021-11-01,,1.2,,1,,0,,1
311,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,14,9227000380_92270380_QW04_QW043,9227000380_92270380_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,1.2,1.2,1.2,,,,,,2021-11-01,1.2,1.2,1,1,0,0,1,1
312,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,15,9226004538_92264538_QW04_QW043,9226004538_92264538_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
313,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,16,9226008379_92268379_QW04_QW043,9226008379_92268379_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
314,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,17,9226008153_92268153_QW04_QW043,9226008153_92268153_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
315,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,18,9226000701_92260701_QW04_QW043,9226000701_92260701_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,,1.2,,,,,,,2021-11-01,1.2,,1,,0,,1,
316,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,19,9226001670_92261670_QW04_QW043,9226001670_92261670_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
317,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,20,9226003770_92263770_QW04_QW043,9226003770_92263770_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
318,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,21,9226001671_92261671_QW04_QW043,9226001671_92261671_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
319,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,22,9226008175_92268175_QW04_QW043,9226008175_92268175_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,1.2,1.2,1.2,,,,,,2021-11-01,1.2,1.2,1,1,0,0,1,1
320,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,23,9226004736_92264736_QW04_QW043,9226004736_92264736_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,2021-11-01,1.2,1.2,1,1,0,0,1,1
321,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,24,9226003992_92263992_QW04_QW043,9226003992_92263992_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
322,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,25,9226008107_92268107_QW04_QW043,9226008107_92268107_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,1.2,1.2,1.2,,,,,,2021-11-01,1.2,1.2,1,1,0,0,1,1
323,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,26,9226004539_92264539_QW04_QW043,9226004539_92264539_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,1.2,1.2,1.8,,,,,,2021-11-01,1.2,1.5,1,0,0,0,1,1
324,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,27,9226005811_92265811_QW04_QW043,9226005811_92265811_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,1.2,1.2,1.2,,,,,,2021-11-01,1.2,1.2,1,1,0,0,1,1
325,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,28,9226007567_92267567_QW04_QW043,9226007567_92267567_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,1.2,1.2,1.2,,,,,,2021-11-01,1.2,1.2,1,1,0,0,1,1
326,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,29,9226009145_92269145_QW04_QW043,9226009145_92269145_QW04_QW043_NA,,Queens,QW04,QW043,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,2021-11-01,1.2,1.2,1,1,0,0,1,1
327,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,30,9226009915_92269915_QW04_QW043,9226009915_92269915_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
328,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,31,9226003931_92263931_QW04_QW043,9226003931_92263931_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
329,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,32,9226008216_92268216_QW04_QW043,9226008216_92268216_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
330,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,33,9226009008_92269008_QW04_QW043,9226009008_92269008_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
331,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,34,9226003046_92263046_QW04_QW043,9226003046_92263046_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
332,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,35,9226002475_92262475_QW04_QW043,9226002475_92262475_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
333,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,36,9226002517_92262517_QW04_QW043,9226002517_92262517_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
334,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,37,9226006022_92266022_QW04_QW043,9226006022_92266022_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
335,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,38,9226009036_92269036_QW04_QW043,9226009036_92269036_QW04_QW043_NA,,Queens,QW04,QW043,,,,,,,,,,,2021-11-01,,,,,,,,
336,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,0,4226000510_42260510_QE12_QE126,4226000510_42260510_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,,2021-11-01,,,,,,,,
337,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,1,6226003990_62263990_QE12_QE126,6226003990_62263990_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,,2021-11-01,,,,,,,,
338,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,2,4226002274_42262274_QE12_QE126,4226002274_42262274_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,,2021-11-01,,,,,,,,
339,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,3,7226007347_72267347_QE12_QE126,7226007347_72267347_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,,2021-11-01,,,,,,,,
340,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,4,7226006808_72266808_QE12_QE126,7226006808_72266808_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,,2021-11-01,,,,,,,,
341,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,5,7226004840_72264840_QE12_QE126,7226004840_72264840_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,,2021-11-01,,,,,,,,
342,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,6,7226006800_72266800_QE12_QE126,7226006800_72266800_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,,2021-11-01,,,,,,,,
343,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,7,7227008710_72278710_QE12_QE126,7227008710_72278710_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,,2021-11-01,,,,,,,,
344,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,8,7226008205_72268205_QE12_QE126,7226008205_72268205_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,,2021-11-01,,,,,,,,
345,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,10,7226003511_72263511_QE12_QE126,7226003511_72263511_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,,2021-11-01,,,,,,,,
346,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,11,7226006002_72266002_QE12_QE126,7226006002_72266002_QE12_QE126_NA,,Queens,QE12,QE126,,,,,,,,,,,2021-11-01,,,,,,,,
347,,,,,,,2021-11-01,2021-11-01,,,2021-11-01,2021-11-01,,11,2021,0,10226002828_102262828_QW01_QW012,10226002828_102262828_QW01_QW012_NA,,Queens,QW01,QW012,,,,,,,,,,,2021-11-01,,,,,,,,
